Id,Birth_date,Fname,Lname,Gender,Phone,AU_License_no,AA_id
460781175,19760819,James,Patterson,M,9787967923,US147466,130
460781176,19760820,Andrew,Gross,M,9787967924,US147467,131
460781177,19760821,Jeffery,Deaver,M,9787967925,US147468,132
460781178,19760822,Jacquelyn,Mitchard,F,9787967926,US147469,133
460781179,19760823,Patrick,Lencioni,M,9787967927,US147470,134
460781180,19760824,Mary,Clark,F,9787967928,US147471,135
460781181,19760825,Dee,Henderson,F,9787967929,US147472,136
460781182,19760826,Ann,Patchett,F,9787967930,US147473,137
460781183,19760827,Karen,Moning,F,9787967931,US147474,138
460781184,19760828,Suzanne,Brockmann,F,9787967932,US147475,139
460781185,19760829,Steven,Pinker,M,9787967933,US147476,140
460781186,19760830,Albert-L¾szl¢,Barab¾si,M,9787967934,US147477,141
460781187,19760831,Edward,Wilson,M,9787967935,US147478,142
460781188,19850406,Stephen,Wolfram,M,9787967936,US147479,143
460781189,19850407,Harold,McGee,M,9787967937,US147480,144
460781190,19850408,Francis,Ching,M,9787967938,US147481,145
460781191,19850409,Cassandra,Adams,F,9787967939,US147482,146
460781192,19850410,Virginia,McAlester,F,9787967940,US147483,147
460781193,19850411,Lee,McAlester,M,9787967941,US147484,148
460781194,19850412,Bryan,Burkhart,M,9787967942,US147485,149
460781195,19850413,Allison,Arieff,F,9787967943,US147486,150
460781196,19850414,Ralph,Kylloe,M,9787967944,US147487,151
460781197,19850415,Leslie,Clagett,F,9787967945,US147488,152
460781198,19850416,Gerard,Gefen,M,9787967946,US147489,153
460781199,19850417,Christine,Bastin,F,9787967947,US147490,154
460781200,19850418,Jacques,Evrard,M,9787967948,US147491,155
460781201,19850419,Donald,Kaufman,M,9787967949,US147492,156
460781202,19850420,Taffy,Dahl,F,9787967950,US147493,157
460781203,19850421,Laurel,Graeber,F,9787967951,US147494,158
460781204,19850422,Tina,Freeman,F,9787967952,US147495,159
460781205,19850423,Simon,Czaczkes,M,9787967953,US147496,160
460781206,19850424,Mark,Grinblatt,M,9787967954,US147497,161
460781207,19850425,Sheridan,Titman,M,9787967955,US147498,162
460781208,19850426,Robert,Higgins,M,9787967956,US147499,163
460781209,19850427,Paul,Fischer,M,9787967957,US147500,164
460781210,19850428,William,Taylor,M,9787967958,US147501,165
460781211,19850429,Rita,Cheng,F,9787967959,US147502,166
460781212,19850430,Donald,Kieso,M,9787967960,US147503,167
460781213,19710601,Jerry,Weygandt,M,9787967961,US147504,168
460781214,19710602,Terry,Warfield,M,9787967962,US147505,169
460781215,19710603,Lawrence,Revsine,F,9787967963,US147506,170
460781216,19710604,Daniel,Collins,M,9787967964,US147507,171
460781217,19710605,Bruce,Johnson,M,9787967965,US147508,172
460781218,19710606,Nicholas,Sparks,M,9787967966,US147509,173
460781219,19710607,Don,DeLillo,M,9787967967,US147510,174
460781220,19710608,Stephen,King,M,9787967968,US147511,175
460781221,19710609,Mark,Danielewski,M,9787967969,US147512,176
460781222,19710610,Michael,Romkey,M,9787967970,US147513,177
460781223,19710611,Chuck,Palahniuk,M,9787967971,US147514,178
460781224,19710612,Matthew,Delaney,M,9787967972,US147515,179
460781225,19710613,Bernie,Wrightson,M,9787967973,US147516,180
460781226,19710614,Simon,Benninga,M,9787967974,US147517,181
460781227,19710615,Jeffrey,Wooldridge,M,9787967975,US147518,182
460781228,19710616,Steven,Root,M,9787967976,US147519,183
460781229,19710617,Ken,Coffman,M,9787967977,US147520,184
460781230,19710618,Gerald,Carter,M,9787967978,US147521,185
460781231,19710619,Scott,Kelby,M,9787967979,US147522,186
460781232,19710620,B.J,Fogg,M,9787967980,US147523,187
460781233,19710621,Michael,Meyers,M,9787967981,US147524,188
460781234,19710622,Carl,Sagan,M,9787967982,US147525,189
460781235,19710623,Alice,Sebold,F,9787967983,US147526,190
460781236,19710624,Ian,McEwan,M,9787967984,US147527,191
460781237,19710625,Nora,Roberts,F,9787967985,US147528,192
460781238,19710626,Andy,Rae,M,9787967986,US147529,193
460781239,19710627,Joseph,Truini,M,9787967987,US147530,194
